Instance_Name,Raw_Text_Path,N_Jobs,N_Machines,Time_Limit_s,Seed,Winner_Key,GECODE_FF_Runtime_s,GECODE_FF_Makespan,GECODE_FF_Wall_s,CHUFFED_IO_Runtime_s,CHUFFED_IO_Makespan,CHUFFED_IO_Wall_s,CPSAT_FF_Runtime_s,CPSAT_FF_Makespan,CPSAT_FF_Wall_s,CBC_DEF_Runtime_s,CBC_DEF_Makespan,CBC_DEF_Wall_s,SCIP_DEF_Runtime_s,SCIP_DEF_Makespan,SCIP_DEF_Wall_s,HIGHS_DEF_Runtime_s,HIGHS_DEF_Makespan,HIGHS_DEF_Wall_s,CPLEX_DEF_Runtime_s,CPLEX_DEF_Makespan,CPLEX_DEF_Wall_s,GUROBI_DEF_Runtime_s,GUROBI_DEF_Makespan,GUROBI_DEF_Wall_s,Image_Npy_Path
GEN_10x10_4,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_4.dzn,10,10,540,1,CPLEX_DEF,18.314,171.0,18.314,2.265,171.0,2.265,10.107,171.0,10.107,540.0,183.0,603.662,24.199,171.0,24.199,18.707,171.0,18.707,1.622,171.0,1.784,3.92,171.0,3.92,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_4_image.npy
GEN_10x10_5,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_5.dzn,10,10,180,1,CPLEX_DEF,17.425,171.0,17.425,2.309,171.0,2.309,8.726,171.0,8.726,180.0,185.0,200.518,24.105,171.0,24.105,17.142,171.0,17.142,1.644,171.0,1.808,3.887,171.0,3.887,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_5_image.npy
GEN_10x10_5,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_5.dzn,10,10,360,1,CPLEX_DEF,18.479,171.0,18.479,2.381,171.0,2.381,9.674,171.0,9.674,360.0,184.0,410.085,28.06,171.0,28.06,20.792,171.0,20.792,1.753,171.0,1.928,4.816,171.0,4.816,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_5_image.npy
GEN_10x10_5,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_5.dzn,10,10,540,1,CPLEX_DEF,21.5,171.0,21.5,2.765,171.0,2.765,10.464,171.0,10.464,540.0,183.0,611.867,28.272,171.0,28.272,20.459,171.0,20.459,2.264,171.0,2.48,5.075,171.0,5.075,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_5_image.npy
GEN_10x10_6,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_6.dzn,10,10,180,1,CPLEX_DEF,28.379,171.0,28.379,4.085,171.0,4.085,15.418,171.0,15.418,180.0,185.0,204.529,31.468,171.0,31.468,22.367,171.0,22.367,2.158,171.0,2.398,5.173,171.0,5.173,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_6_image.npy
GEN_10x10_6,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_6.dzn,10,10,360,1,CPLEX_DEF,21.604,171.0,21.604,2.881,171.0,2.881,11.389,171.0,11.389,360.0,183.0,400.422,22.082,171.0,22.082,16.663,171.0,16.663,1.682,171.0,1.923,3.475,171.0,3.475,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_6_image.npy
GEN_10x10_6,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_6.dzn,10,10,540,1,CPLEX_DEF,16.44,171.0,16.44,2.1,171.0,2.1,8.329,171.0,8.329,540.0,183.0,600.341,23.083,171.0,23.083,17.231,171.0,17.231,1.705,171.0,1.867,3.627,171.0,3.627,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_6_image.npy
GEN_10x10_7,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_7.dzn,10,10,180,1,CPLEX_DEF,16.713,171.0,16.713,2.18,171.0,2.18,8.65,171.0,8.65,180.0,185.0,200.749,23.726,171.0,23.726,17.438,171.0,17.438,1.641,171.0,1.816,3.822,171.0,3.822,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_7_image.npy
GEN_10x10_7,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_7.dzn,10,10,360,1,CPLEX_DEF,18.516,171.0,18.516,2.244,171.0,2.244,8.73,171.0,8.73,360.0,183.0,400.48,22.721,171.0,22.721,16.717,171.0,16.717,1.62,171.0,1.796,3.606,171.0,3.606,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_7_image.npy
GEN_10x10_7,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_7.dzn,10,10,540,1,CPLEX_DEF,17.456,171.0,17.456,2.223,171.0,2.223,8.89,171.0,8.89,540.0,183.0,611.922,28.648,171.0,28.648,20.039,171.0,20.039,1.944,171.0,2.136,4.437,171.0,4.437,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_7_image.npy
GEN_10x10_8,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_8.dzn,10,10,180,1,CPLEX_DEF,19.723,171.0,19.723,2.604,171.0,2.604,11.104,171.0,11.104,180.0,185.0,204.332,29.526,171.0,29.526,20.835,171.0,20.835,2.112,171.0,2.334,4.539,171.0,4.539,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_8_image.npy
GEN_10x10_8,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_8.dzn,10,10,360,1,CPLEX_DEF,20.691,171.0,20.691,3.089,171.0,3.089,11.001,171.0,11.001,360.0,184.0,408.605,28.552,171.0,28.552,20.968,171.0,20.968,2.085,171.0,2.295,4.625,171.0,4.625,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_8_image.npy
GEN_10x10_8,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_8.dzn,10,10,540,1,CPLEX_DEF,21.622,171.0,21.622,2.815,171.0,2.815,10.683,171.0,10.683,540.0,183.0,602.215,27.215,171.0,27.215,20.249,171.0,20.249,1.87,171.0,2.051,4.134,171.0,4.134,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_8_image.npy
GEN_10x10_9,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_9.dzn,10,10,180,1,CPLEX_DEF,18.83,171.0,18.83,2.43,171.0,2.43,9.603,171.0,9.603,180.0,185.0,201.251,23.136,171.0,23.136,17.366,171.0,17.366,1.583,171.0,1.749,3.802,171.0,3.802,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_9_image.npy
GEN_10x10_9,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_9.dzn,10,10,360,1,CPLEX_DEF,17.587,171.0,17.587,2.214,171.0,2.214,8.624,171.0,8.624,360.0,184.0,403.581,27.938,171.0,27.938,20.408,171.0,20.408,1.846,171.0,2.071,4.128,171.0,4.128,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_9_image.npy
GEN_10x10_9,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_9.dzn,10,10,540,1,CPLEX_DEF,19.699,171.0,19.699,2.608,171.0,2.608,10.178,171.0,10.178,540.0,183.0,605.902,26.874,171.0,26.874,19.388,171.0,19.388,1.8,171.0,1.971,3.96,171.0,3.96,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_9_image.npy
GEN_10x10_10,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_10.dzn,10,10,180,1,CPLEX_DEF,18.608,171.0,18.608,3.047,171.0,3.047,9.318,171.0,9.318,180.0,185.0,203.039,27.406,171.0,27.406,20.254,171.0,20.254,1.975,171.0,2.161,4.607,171.0,4.607,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_10_image.npy
GEN_10x10_10,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_10.dzn,10,10,360,1,CPLEX_DEF,21.996,171.0,21.996,3.085,171.0,3.085,12.273,171.0,12.273,360.0,184.0,402.317,31.218,171.0,31.218,22.598,171.0,22.598,2.181,171.0,2.407,4.665,171.0,4.665,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_10_image.npy
GEN_10x10_10,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_10.dzn,10,10,540,1,CPLEX_DEF,22.838,171.0,22.838,3.1,171.0,3.1,11.856,171.0,11.856,540.0,183.0,606.483,36.106,171.0,36.106,22.803,171.0,22.803,1.961,171.0,2.153,4.698,171.0,4.698,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_10_image.npy
GEN_10x10_11,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_11.dzn,10,10,180,1,CPLEX_DEF,21.901,171.0,21.901,2.871,171.0,2.871,11.283,171.0,11.283,180.0,185.0,201.216,26.684,171.0,26.684,18.382,171.0,18.382,1.756,171.0,1.932,4.179,171.0,4.179,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_11_image.npy
GEN_10x10_11,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_11.dzn,10,10,360,1,CPLEX_DEF,19.034,171.0,19.034,2.447,171.0,2.447,10.324,171.0,10.324,360.0,184.0,403.372,32.112,171.0,32.112,23.571,171.0,23.571,2.246,171.0,2.462,4.932,171.0,4.932,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_11_image.npy
GEN_10x10_11,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_11.dzn,10,10,540,1,CPLEX_DEF,19.673,171.0,19.673,2.441,171.0,2.441,9.522,171.0,9.522,540.0,183.0,602.141,21.962,171.0,21.962,16.839,171.0,16.839,1.498,171.0,1.653,3.435,171.0,3.435,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_11_image.npy
GEN_10x10_12,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_12.dzn,10,10,180,1,CHUFFED_IO,16.523,171.0,16.523,2.121,171.0,2.121,8.261,171.0,8.261,180.0,185.0,201.139,36.971,171.0,36.971,24.902,171.0,24.902,2.297,171.0,2.513,5.169,171.0,5.169,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_12_image.npy
GEN_10x10_12,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_12.dzn,10,10,360,1,CPLEX_DEF,22.705,171.0,22.705,3.024,171.0,3.024,11.627,171.0,11.627,360.0,183.0,400.069,21.97,171.0,21.97,17.066,171.0,17.066,1.607,171.0,1.794,3.59,171.0,3.59,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_12_image.npy
GEN_10x10_12,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_12.dzn,10,10,540,1,CPLEX_DEF,16.761,171.0,16.761,2.145,171.0,2.145,8.423,171.0,8.423,540.0,183.0,623.625,26.22,171.0,26.22,20.058,171.0,20.058,1.862,171.0,2.043,5.08,171.0,5.08,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_12_image.npy
GEN_10x10_13,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_13.dzn,10,10,180,1,CPLEX_DEF,19.907,171.0,19.907,2.531,171.0,2.531,9.918,171.0,9.918,180.0,185.0,205.335,25.327,171.0,25.327,19.381,171.0,19.381,1.849,171.0,2.023,4.458,171.0,4.458,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_13_image.npy
GEN_10x10_13,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_13.dzn,10,10,360,1,CHUFFED_IO,21.63,171.0,21.63,2.812,171.0,2.812,10.475,171.0,10.475,360.0,184.0,412.607,50.596,171.0,50.596,29.305,171.0,29.305,2.938,171.0,3.256,6.511,171.0,6.511,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_13_image.npy
GEN_10x10_13,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_13.dzn,10,10,540,1,CPLEX_DEF,30.018,171.0,30.018,3.941,171.0,3.941,14.968,171.0,14.968,540.0,183.0,606.172,26.752,171.0,26.752,18.741,171.0,18.741,1.758,171.0,1.932,4.303,171.0,4.303,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_13_image.npy
GEN_10x10_14,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_14.dzn,10,10,180,1,CPLEX_DEF,19.223,171.0,19.223,3.535,171.0,3.535,9.867,171.0,9.867,180.0,185.0,200.123,26.512,171.0,26.512,18.898,171.0,18.898,1.768,171.0,1.938,4.106,171.0,4.106,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_14_image.npy
GEN_10x10_14,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_14.dzn,10,10,360,1,CPLEX_DEF,19.099,171.0,19.099,2.676,171.0,2.676,10.751,171.0,10.751,360.0,184.0,400.478,30.285,171.0,30.285,22.11,171.0,22.11,2.105,171.0,2.316,4.703,171.0,4.703,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_14_image.npy
GEN_10x10_14,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_14.dzn,10,10,540,1,CPLEX_DEF,23.686,171.0,23.686,3.248,171.0,3.248,13.665,171.0,13.665,540.0,183.0,603.601,31.79,171.0,31.79,23.733,171.0,23.733,2.256,171.0,2.483,5.077,171.0,5.077,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_14_image.npy
GEN_10x10_15,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_15.dzn,10,10,180,1,CPLEX_DEF,24.564,171.0,24.564,3.352,171.0,3.352,13.454,171.0,13.454,180.0,185.0,204.511,33.93,171.0,33.93,24.141,171.0,24.141,2.232,171.0,2.467,5.103,171.0,5.103,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_15_image.npy
GEN_10x10_15,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_15.dzn,10,10,360,1,CPLEX_DEF,25.858,171.0,25.858,3.321,171.0,3.321,13.134,171.0,13.134,360.0,184.0,404.952,33.424,171.0,33.424,24.689,171.0,24.689,2.337,171.0,2.585,5.052,171.0,5.052,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_15_image.npy
GEN_10x10_15,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_15.dzn,10,10,540,1,CPLEX_DEF,24.718,171.0,24.718,3.308,171.0,3.308,12.883,171.0,12.883,540.0,183.0,618.446,20.079,171.0,20.079,14.735,171.0,14.735,1.346,171.0,1.488,3.096,171.0,3.096,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_15_image.npy
GEN_10x10_16,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_16.dzn,10,10,180,1,CPLEX_DEF,14.757,171.0,14.757,1.831,171.0,1.831,7.307,171.0,7.307,180.0,185.0,205.958,19.967,171.0,19.967,14.522,171.0,14.522,1.332,171.0,1.481,3.057,171.0,3.057,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_16_image.npy
GEN_10x10_16,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_16.dzn,10,10,360,1,CPLEX_DEF,14.398,171.0,14.398,1.815,171.0,1.815,7.205,171.0,7.205,360.0,183.0,410.812,20.233,171.0,20.233,14.721,171.0,14.721,1.354,171.0,1.532,3.097,171.0,3.097,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_16_image.npy
GEN_10x10_16,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_16.dzn,10,10,540,1,CPLEX_DEF,14.595,171.0,14.595,1.859,171.0,1.859,7.311,171.0,7.311,540.0,183.0,605.236,19.532,171.0,19.532,14.377,171.0,14.377,1.312,171.0,1.453,3.024,171.0,3.024,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_16_image.npy
GEN_10x10_17,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_17.dzn,10,10,180,1,CPLEX_DEF,14.211,171.0,14.211,1.782,171.0,1.782,7.273,171.0,7.273,180.0,185.0,201.236,19.5,171.0,19.5,14.424,171.0,14.424,1.312,171.0,1.46,3.038,171.0,3.038,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_17_image.npy
GEN_10x10_17,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_17.dzn,10,10,360,1,CPLEX_DEF,14.351,171.0,14.351,1.811,171.0,1.811,7.181,171.0,7.181,360.0,183.0,410.098,20.152,171.0,20.152,14.867,171.0,14.867,1.361,171.0,1.522,3.109,171.0,3.109,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_17_image.npy
GEN_10x10_17,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_17.dzn,10,10,540,1,CPLEX_DEF,14.873,171.0,14.873,1.862,171.0,1.862,7.373,171.0,7.373,540.0,183.0,615.358,19.77,171.0,19.77,14.838,171.0,14.838,1.335,171.0,1.482,3.077,171.0,3.077,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_17_image.npy
GEN_10x10_18,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_18.dzn,10,10,180,1,CPLEX_DEF,14.499,171.0,14.499,1.836,171.0,1.836,7.285,171.0,7.285,180.0,185.0,207.698,20.355,171.0,20.355,14.701,171.0,14.701,1.328,171.0,1.473,3.077,171.0,3.077,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_18_image.npy
GEN_10x10_18,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/GEN_10x10_18.dzn,10,10,360,1,CPLEX_DEF,14.568,171.0,14.568,1.827,171.0,1.827,7.437,171.0,7.437,360.0,183.0,403.008,19.886,171.0,19.886,14.392,171.0,14.392,1.327,171.0,1.5,3.035,171.0,3.035,/Users/herreran/Documents/Universidad/practica-invg/data/jssp/datasets/jssp_cnn_data_images/images/GEN_10x10_18_image.npy
